Date,Clicks,Impressions,CTR,Position
2025-12-29,7,28,25%,8.9
2025-12-30,9,32,28.12%,9.1
2025-12-31,10,22,45.45%,19.8
2026-01-01,0,6,0%,10.8
2026-01-02,2,3,66.67%,2.3
2026-01-03,0,11,0%,14.6
2026-01-04,0,18,0%,25.7
2026-01-05,1,16,6.25%,15.2
2026-01-06,6,15,40%,5.5
2026-01-07,2,7,28.57%,3.9
2026-01-08,0,10,0%,1.7
2026-01-09,0,5,0%,2.6
2026-01-10,1,7,14.29%,18.6
2026-01-11,0,6,0%,18.3
2026-01-12,0,5,0%,3.8
2026-01-13,0,3,0%,66.7
2026-01-14,1,15,6.67%,3.7
2026-01-15,2,8,25%,4.4
2026-01-16,0,4,0%,19.2
2026-01-17,1,3,33.33%,5
2026-01-18,0,3,0%,1.7
2026-01-19,0,6,0%,3.7
2026-01-20,0,5,0%,7.8
2026-01-21,2,10,20%,5.8
2026-01-22,1,10,10%,21.7
2026-01-23,0,7,0%,8.1
2026-01-24,2,19,10.53%,3.9
2026-01-25,1,3,33.33%,6.7
2026-01-26,0,3,0%,4.7
2026-01-27,0,8,0%,6.6
2026-01-28,0,9,0%,3.9
2026-01-29,0,7,0%,4.9
2026-01-30,0,2,0%,7
2026-01-31,1,6,16.67%,5.7
2026-02-01,1,10,10%,5.1
2026-02-02,1,7,14.29%,28.4
2026-02-03,3,11,27.27%,19.3
2026-02-04,1,8,12.5%,5.6
2026-02-05,1,5,20%,24
2026-02-06,0,10,0%,2.7
2026-02-07,2,10,20%,2.8
2026-02-08,4,8,50%,3.6
2026-02-09,12,30,40%,2.6
2026-02-10,5,14,35.71%,2.8
2026-02-11,3,11,27.27%,2.5
2026-02-12,1,22,4.55%,3.2
2026-02-13,2,11,18.18%,3.6
2026-02-14,1,14,7.14%,3.9
2026-02-15,0,11,0%,3.7
2026-02-16,2,13,15.38%,18.7
2026-02-17,1,7,14.29%,5.1
2026-02-18,3,9,33.33%,5
2026-02-19,1,14,7.14%,5.6
2026-02-20,1,9,11.11%,4.2
2026-02-21,1,5,20%,6.6
2026-02-22,4,9,44.44%,2.4
2026-02-23,2,14,14.29%,4
2026-02-24,0,4,0%,6.5
2026-02-25,1,19,5.26%,15.2
2026-02-26,0,10,0%,4.4
2026-02-27,1,11,9.09%,6
2026-02-28,0,13,0%,4.8
2026-03-01,1,14,7.14%,4.5
2026-03-02,1,15,6.67%,3.9
2026-03-03,2,17,11.76%,5.8
2026-03-04,0,17,0%,6.8
2026-03-05,0,11,0%,8.7
2026-03-06,1,11,9.09%,4.8
2026-03-07,0,7,0%,7.3
2026-03-08,1,10,10%,13.8
2026-03-09,1,9,11.11%,4.4
2026-03-10,2,13,15.38%,9.3
2026-03-11,1,22,4.55%,13.1
2026-03-12,3,15,20%,3.8
2026-03-13,0,4,0%,8.2
2026-03-14,0,6,0%,18.7
2026-03-15,0,8,0%,12.4
2026-03-16,0,7,0%,3.4
2026-03-17,0,8,0%,15
2026-03-18,0,5,0%,7
2026-03-19,0,9,0%,7.3
2026-03-20,0,6,0%,5
2026-03-21,0,6,0%,6.8
2026-03-22,0,2,0%,5.5
2026-03-23,1,10,10%,12.6
2026-03-24,0,7,0%,6.6
2026-03-25,1,9,11.11%,33.1
2026-03-26,1,6,16.67%,39.7
2026-03-27,1,6,16.67%,27.3
2026-03-28,0,1,0%,8
2026-03-29,0,3,0%,5
2026-03-30,0,5,0%,7.8
2026-03-31,16,25,64%,4.5
2026-04-01,1,12,8.33%,6.1
2026-04-02,0,3,0%,5.7
2026-04-03,0,4,0%,5.5
2026-04-04,4,8,50%,3
2026-04-05,0,4,0%,3.8
2026-04-06,3,10,30%,5.2
2026-04-07,2,16,12.5%,4.7
2026-04-08,0,19,0%,5.6
2026-04-09,3,5,60%,26.4
2026-04-10,1,8,12.5%,4.6
2026-04-11,0,8,0%,4.8
2026-04-12,6,19,31.58%,1.9
2026-04-13,0,8,0%,16.8
2026-04-14,3,9,33.33%,19.4
2026-04-15,5,19,26.32%,1.7
2026-04-16,0,6,0%,7.2
2026-04-17,1,9,11.11%,3.6
2026-04-18,0,2,0%,6
2026-04-19,2,7,28.57%,2.7
2026-04-20,1,7,14.29%,7.3
2026-04-21,1,7,14.29%,21
2026-04-22,0,4,0%,8.5
2026-04-23,5,8,62.5%,1
2026-04-24,3,11,27.27%,1.7
2026-04-25,2,4,50%,1
2026-04-26,1,11,9.09%,3.6
2026-04-27,0,6,0%,7.7
2026-04-28,0,7,0%,7.3
2026-04-29,2,10,20%,28.2
2026-04-30,0,5,0%,13
2026-05-01,1,7,14.29%,2.9
2026-05-02,0,3,0%,7.3
2026-05-03,4,7,57.14%,3.4
2026-05-04,4,15,26.67%,4
