Top queries,Clicks,Impressions,CTR,Position
aurix lab,59,145,40.69%,1
aurixlab,43,50,86%,1.1
auryxlab,6,15,40%,1.13
all seo company in calgary,3,3,100%,121
aurix marketing,1,227,0.44%,7.3
digital marketing agency in calgary,1,4,25%,84.5
digital marketing agency calgary,1,4,25%,151
digital marketing in calgary,1,2,50%,121
seo companies in calgary,1,1,100%,161
aurix,0,20,0%,16.1
marketing agency in calgary,0,11,0%,70.18
arix labs,0,6,0%,9.5
chatbot architecture design calgary,0,6,0%,72.67
aurix marketing dubai,0,5,0%,5.6
aurix digital,0,5,0%,8.2
calgary digital marketing agency,0,5,0%,48.4
digital agency calgary,0,4,0%,52.5
arix lab,0,2,0%,2
"""aurix"" brand",0,2,0%,7.5
aürix,0,2,0%,42
marketing lab,0,1,0%,1
aurtix,0,1,0%,10
how to fix this problem,0,1,0%,23
calgary digital marketing agencies,0,1,0%,46
best digital marketing agency calgary,0,1,0%,61
labs near me,0,1,0%,81
marketing automation agency calgary,0,1,0%,98
laboratory calgary,0,1,0%,118
seo agency calgary,0,1,0%,141
social media marketing company calgary,0,1,0%,161
