Date,Clicks,Impressions,CTR,Position
2026-03-06,4,1255,0.32%,17.1
2026-03-07,0,280,0%,17.7
2026-03-08,1,264,0.38%,20.2
2026-03-09,10,449,2.23%,15.9
2026-03-10,8,434,1.84%,17.2
2026-03-11,4,432,0.93%,18.1
2026-03-12,5,383,1.31%,19.3
2026-03-13,3,391,0.77%,18.8
2026-03-14,2,264,0.76%,18.1
2026-03-15,0,265,0%,16.8
2026-03-16,10,520,1.92%,18.6
2026-03-17,5,518,0.97%,20
2026-03-18,3,436,0.69%,18.3
2026-03-19,4,416,0.96%,19.1
2026-03-20,5,270,1.85%,16.4
2026-03-21,1,240,0.42%,20.3
2026-03-22,1,244,0.41%,17.7
2026-03-23,2,372,0.54%,18.7
2026-03-24,0,344,0%,17.5
2026-03-25,2,294,0.68%,15.2
2026-03-26,5,283,1.77%,15.7
2026-03-27,4,284,1.41%,15.6
2026-03-28,4,239,1.67%,20.5
2026-03-29,3,337,0.89%,18.8
2026-03-30,4,423,0.95%,16.4
2026-03-31,7,369,1.9%,15.6
2026-04-01,2,367,0.54%,13.7
2026-04-02,5,420,1.19%,17.7
2026-04-03,1,254,0.39%,18.4
2026-04-04,0,265,0%,16.6
2026-04-05,0,284,0%,16.9
2026-04-06,3,361,0.83%,15.6
2026-04-07,3,343,0.87%,15.7
2026-04-08,5,355,1.41%,13
2026-04-09,3,276,1.09%,13.9
2026-04-10,1,310,0.32%,12.7
2026-04-11,2,252,0.79%,19.2
2026-04-12,0,295,0%,15.3
2026-04-13,6,460,1.3%,14.1
2026-04-14,2,426,0.47%,15.4
2026-04-15,4,350,1.14%,14.6
2026-04-16,5,388,1.29%,16.2
2026-04-17,4,417,0.96%,17.3
2026-04-18,1,286,0.35%,17.4
2026-04-19,2,324,0.62%,17
2026-04-20,6,461,1.3%,14.5
2026-04-21,5,344,1.45%,14.8
2026-04-22,2,305,0.66%,13
2026-04-23,7,355,1.97%,12.3
2026-04-24,3,365,0.82%,13.9
2026-04-25,4,277,1.44%,17.6
2026-04-26,2,302,0.66%,15.1
2026-04-27,4,385,1.04%,13.9
2026-04-28,5,359,1.39%,15.2
2026-04-29,4,338,1.18%,13.6
2026-04-30,6,312,1.92%,14.4
2026-05-01,7,340,2.06%,13.5
2026-05-02,2,207,0.97%,16.8
2026-05-03,3,260,1.15%,17.4
2026-05-04,5,411,1.22%,12.5
2026-05-05,5,393,1.27%,12.6
2026-05-06,6,436,1.38%,12.8
