Date,Clicks,Impressions,CTR,Position
2025-02-27,0,46,0%,60.4
2025-02-28,1,65,1.54%,62.1
2025-03-01,3,89,3.37%,71.2
2025-03-02,1,99,1.01%,67.1
2025-03-03,1,117,0.85%,59.5
2025-03-04,5,181,2.76%,64.5
2025-03-05,3,204,1.47%,65.3
2025-03-06,4,177,2.26%,68.2
2025-03-07,0,207,0%,70.7
2025-03-08,0,160,0%,73.9
2025-03-09,1,125,0.8%,78.3
2025-03-10,3,212,1.42%,74
2025-03-11,5,168,2.98%,77
2025-03-12,9,215,4.19%,70.9
2025-03-13,5,199,2.51%,73.3
2025-03-14,2,186,1.08%,74
2025-03-15,7,211,3.32%,72.8
2025-03-16,0,167,0%,74.8
2025-03-17,2,174,1.15%,69
2025-03-18,5,178,2.81%,70
2025-03-19,0,200,0%,71.2
2025-03-20,2,200,1%,72
2025-03-21,7,212,3.3%,71
2025-03-22,1,182,0.55%,76
2025-03-23,2,170,1.18%,75.4
2025-03-24,1,213,0.47%,70.5
2025-03-25,0,212,0%,70.4
2025-03-26,5,185,2.7%,65.5
2025-03-27,2,183,1.09%,74.7
2025-03-28,6,239,2.51%,67.5
2025-03-29,1,176,0.57%,74.6
2025-03-30,2,169,1.18%,75.4
2025-03-31,2,183,1.09%,71.7
2025-04-01,4,186,2.15%,66.4
2025-04-02,1,191,0.52%,64.9
2025-04-03,4,185,2.16%,67.8
2025-04-04,3,183,1.64%,72.1
2025-04-05,1,173,0.58%,70.3
2025-04-06,1,239,0.42%,71
2025-04-07,3,192,1.56%,69.9
2025-04-08,6,235,2.55%,68
2025-04-09,2,221,0.9%,72.3
2025-04-10,3,195,1.54%,68.8
2025-04-11,1,214,0.47%,68.9
2025-04-12,0,189,0%,73.9
2025-04-13,2,268,0.75%,76.4
2025-04-14,1,232,0.43%,71.3
2025-04-15,2,236,0.85%,70.9
2025-04-16,2,208,0.96%,69.3
2025-04-17,1,193,0.52%,72
2025-04-18,1,231,0.43%,76.2
2025-04-19,0,194,0%,80.9
2025-04-20,3,202,1.49%,72.5
2025-04-21,2,241,0.83%,78.4
2025-04-22,3,240,1.25%,68.5
2025-04-23,5,283,1.77%,76
2025-04-24,2,245,0.82%,73.7
2025-04-25,6,280,2.14%,65.9
2025-04-26,2,240,0.83%,72.9
2025-04-27,0,242,0%,74.1
2025-04-28,0,308,0%,72.2
2025-04-29,3,259,1.16%,69
2025-04-30,6,272,2.21%,70.6
2025-05-01,4,287,1.39%,71.7
2025-05-02,13,295,4.41%,67.9
2025-05-03,14,254,5.51%,66.9
2025-05-04,4,269,1.49%,67.9
2025-05-05,6,312,1.92%,66.7
2025-05-06,0,278,0%,70.5
2025-05-07,4,289,1.38%,70.7
2025-05-08,4,305,1.31%,70.2
2025-05-09,2,272,0.74%,68.3
2025-05-10,0,246,0%,71.7
2025-05-11,3,243,1.23%,74.4
2025-05-12,6,306,1.96%,65
2025-05-13,3,241,1.24%,70.4
